Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF/16V","C_0805_2012Metric",149.510400,-96.817200,-90.000000,top
"C2","100nF/16V","C_0603_1608Metric",151.339200,-96.905800,-90.000000,top
"C3","10uF/16V","C_0805_2012Metric",158.349600,-96.817200,90.000000,top
"C4","100nF/16V","C_0603_1608Metric",156.419200,-96.918800,90.000000,top
"D1","SMAJ5.0CA","D_SMA",141.992000,-97.172800,-90.000000,top
"D2","D2","SOD123_DIO",146.513200,-99.509600,180.000000,top
"D3","LTST-C190KGKT","LEDC1608X80N",159.568800,-101.541600,0.000000,top
"F1","MF-NSMF110-2","FUSC3216X70N",139.401200,-92.296000,0.000000,top
"J1","JST-PH 2PIN","B2B-PH-K-S",137.163600,-97.529200,90.000000,top
"J2","2 PIN HEADER","22-23-2021",163.023200,-97.325200,90.000000,top
"Q1","DMP2035U-7","DMP2035U-7",145.662300,-96.461600,0.000000,top
"R1","100K","R_0603_1608Metric",144.684400,-102.139000,-90.000000,top
"R2","10K","R_0603_1608Metric",159.518000,-99.763600,0.000000,top
"TP1","V_IN","TestPoint_THTPad_D1.5mm_Drill0.7mm",147.783200,-91.381600,0.000000,top
"TP2","V_OUT","TestPoint_THTPad_D1.5mm_Drill0.7mm",161.346800,-91.635600,0.000000,top
"TP3","GND","TestPoint_THTPad_D1.5mm_Drill0.7mm",154.768000,-91.569600,0.000000,top
"U1","LP5912-3.3DRVR","U1",153.866400,-96.918800,180.000000,top
